cause,effect,sentence,source
fracking,pollution,"TEC has been instrumental in creating national parks in New South Wales, preserving water catchments, and tracking the impacts of industrial wastes, including pollution caused by fracking, long wall mining and beverage containers.",wikipedia_sentence
disposal_of_waste,pollution,"Figure 1: Types of Co-processing\n\nIn summary, the benefits of Co-processing are:\n\n to conserve natural (non-renewable) resources of energy and materials,\n to reduce emissions of greenhouse gases in order to slow global warming and demonstrate a positive impact on integrated environmental indicators, such as the ecological footprint,\n to reduce the environmental impacts of the extraction (mining or quarrying), transporting, and processing of raw materials,\n to reduce dependence on primary resource markets,\n to save landfill space and reduce the pollution caused by the disposal of waste, and\n to destroy waste completely eliminating potential future liabilities.",wikipedia_sentence
fishing_using_toxic_plants,pollution,The species is listed as endangered due to threats from overfishing and pollution resulting from mining and fishing using toxic plants.,wikipedia_sentence
sewage_water,pollution,"In the event of unusually strong rains, sewage water may spill into the harbour and cause pollution with E. coli bacteria, closing the harbour baths temporarily.",wikipedia_sentence
former_munitions_manufacturing_site,pollution,"Contaminants including perchloroethene (PCE), trichloroethene (TCE), dichloroethene (DCE) and metals in groundwater and soil vapour had been detected, and noted by a consultants' report from 1992, which attributed the pollution to a former munitions manufacturing site on Philips Crescent.",wikipedia_sentence
electrical_power_generation,pollution,NEMA Premium motors and optimized systems will reduce electrical consumption thereby reducing pollution associated with electrical power generation.,wikipedia_sentence
flooding_of_urban_areas,pollution,"Water pollution typically occurs due to the discharge of effluent into water systems, improper landfill techniques, flooding of urban areas resulting in pollution from urban run-off, and agricultural practices.",wikipedia_sentence
cancer,pollution,"The Idiot Cycle is a 2009 French-Canadian documentary which alleges that six major chemical companies are responsible for decades of cancer causing chemicals and pollution, and also develop cancer treatments and drugs.",wikipedia_sentence
avx,pollution,"In May 2011, Wooten ruled that AVX caused the pollution, and county property records show that AVX purchased 21.5 acres of contaminated land for $4.6 million.",wikipedia_sentence
farmlands_jeopardize_the_future_of_the_fish_population,pollution,"Illegal and careless fishing, collecting juvenile fish, and pollution caused by farmlands jeopardize the future of the fish population in the area.",wikipedia_sentence
large_numbers_of_pilgrims,pollution,It is collected for the aquarium trade but the main threat may come from pollution caused by large numbers of pilgrims which attend temples near the waters in which this species occurs.,wikipedia_sentence
lack_of_mass_transit,pollution,"A lack of mass transit results in more traffic, pollution, and road construction to accommodate more vehicles, all costly to taxpayers; providing mass transit will therefore alleviate these costs.",wikipedia_sentence
growth_in_the_number_of_new_chemical_products,pollution,Other Views\n\nDavies disagrees that global warming is the result of human activity and argues that the most pressing threat to humanity's future consists of pollution caused by the growth in the number of new chemical products that have found their way into the human food chain over the last half-century.,wikipedia_sentence
development_of_the_peninsula,pollution,"The development of the peninsula resulted in pollution, including  unprocessed factory waste, leading to Environmental degradation and the displacement of natural marshland and wetland.",wikipedia_sentence
tnpl,pollution,"On the other side of the TNPL paper mill, areas such as\n\nMoolimangalam\nMoorthypalayam\nhave also been affected due to the pollution caused by the TNPL.",wikipedia_sentence
excessive_amount_of_these_chemical_elements,pollution,The excessive amount of these chemical elements lead to pollution.,wikipedia_sentence
creek_'s_waters_entering_deep_mines,pollution,Another cause of the pollution is the creek's waters entering deep mines.,wikipedia_sentence
cargo_vessels_passing_through_or_mooring_in_the_sea_of_marmara_before_the_southern_entrance_of_the_bosphorus,pollution,The canal will further help prevent the pollution caused by cargo vessels passing through or mooring in the Sea of Marmara before the southern entrance of the Bosphorus.,wikipedia_sentence
nature_'s_commodification,pollution,"Polanyi highlighted many of the concerns that contemporary environmentalists have by noting that nature's commodification would lead to its pollution, overuse, and eventually imperil human life",wikipedia_sentence
large_scale_agriculture,pollution,"Heelsplitter populations have been adversely affected by human activities, such as the construction of dams and the pollution and siltation resulting from large scale agriculture.",wikipedia_sentence
runoff_of_explosions,pollution,"The pollution caused by the runoff of explosions is detrimental to the health of the streams nearby, and all those who live in them.",wikipedia_sentence
illegal_mining_in_the_river_bed,pollution,"Nigamanand Saraswati or Swami Nigamananda (2 August 1976 – 13 June 2011), often referred to as Ganga Putra Nigamananda, was a Hindu monk, who went on a hunger strike on 19 February 2011 to save the river Ganges from pollution caused by illegal mining in the river bed.",wikipedia_sentence
huge_industrial_operations_at_lebreton_flats,pollution,The huge industrial operations at LeBreton Flats and the Chaudiere Falls caused pollution and damage to the lands.,wikipedia_sentence
fuel_oil_leaks,pollution,"CSA was particularly concerned about the ability of the newly built ships to withstand various sea conditions and the pollution resulting from fuel oil leaks in case of structural damage — each Valemax ship can carry around 10,000 tons of fuel oil.",wikipedia_sentence
public_and_private_transport,pollution,Co-founders Daniel Todary and Jonathan Broom set up Ecoigo in April 2006 as the ecologically sustainable alternative to pollution caused by public and private transport in central London.,wikipedia_sentence
reliance_on_cars,pollution,"Critics claim this promotes a reliance on cars, which results in more traffic congestion, pollution, and urban sprawl.",wikipedia_sentence
newspaper_factory,pollution,"A newspaper factory may cause pollution, and a billboard may obstruct a view.",wikipedia_sentence
traffic_slowing_down,pollution,"Noise, vibration and pollution can be caused by traffic slowing down and speeding up between the calming measures, though with the installation of average speed cameras in some areas, this is far less of an issue.",wikipedia_sentence
motorized_taxis,pollution,"Pedicabs operate similar to a taxi in that they pick up passengers, though without the pollution associated with motorized taxis.",wikipedia_sentence
seawater_churned,pollution,Clean utility water in the state may have been compromised by sewage backups or pollution caused by seawater churned up by Sandy.,wikipedia_sentence
lead_in_gasoline,pollution,Romero also conducted studies on the pollution caused by lead in gasoline in Venezuela – the only country in the Western Hemisphere that still produced leaded gasoline at that time.,wikipedia_sentence
waste_from_the_ashio_copper,pollution,Tanaka is best known for his advocacy in connection with the pollution caused by waste from the Ashio Copper Mine.,wikipedia_sentence
poor_living_condition_of_the_majority_of_people_living_along_the_bay,pollution,"The pollution is the result of the poor living condition of the majority of people living along the bay, as well as nutrient inputs from agricultural runoff, industrial pollution, and wastewater.",wikipedia_sentence
nutrient_inputs_from_agricultural_runoff,pollution,"The pollution is the result of the poor living condition of the majority of people living along the bay, as well as nutrient inputs from agricultural runoff, industrial pollution, and wastewater.",wikipedia_sentence
harmful_industrial_chemicals,pollution,"As a result of pollution caused by harmful industrial chemicals, international legislation setting minimal levels of organic pollutants in potable and environmental waters and soil were introduced leading to the need for sensitive and cost effective methods for detection and routine monitoring.",wikipedia_sentence
primitive_oil_refining,pollution,"Some people work at primitive oil refining, which causes health hazards and pollution.",wikipedia_sentence
on-site_sanitation_systems,pollution,"Pollution can occur from on-site sanitation systems, landfills, effluent from wastewater treatment plants, leaking sewers, petrol filling stations or from over application of fertilizers in agriculture.",wikipedia_sentence
spill_handicapped_the_fishing_industry,pollution,The pollution caused by the spill handicapped the fishing industry in the bay.,wikipedia_sentence
surplus_of_nitrate_in_soil_tends_to_leach_into_groundwater,pollution,"Thus, the surplus of nitrate in soil tends to leach into groundwater resulting in pollution.",wikipedia_sentence
large_number_of_transportation_to_the_island,pollution,"The pollution caused by the large number of transportation to the island and during the tourists stay including airplanes, buses, cruise ships and other automobiles.",wikipedia_sentence
increase_of_temperature,pollution,"It is threatened by the global reduction of coral reefs, the increase of temperature causing bleaching, disease, coral harvesting, climate change, fishing, human development, pollution, and being prey to starfish Acanthaster planci.",wikipedia_sentence
diesel_fleet_cheating,pollution,"The letter, which includes a 5-step legally enforceable plan, argues that this course of action could result in a ""10 for 1 or greater reduction in pollutant emissions as compared to the pollution associated with the diesel fleet cheating"", while suggesting that the affected vehicles on the road in California ""represent an insignificant portion of total vehicles emissions in the State"" and ""do not, individually, present any emissions-related risk to their owners or occupants"".",wikipedia_sentence
unchecked_movement_of_lorries,pollution,Pollution being caused by unchecked movement of lorries during night hours etc.,wikipedia_sentence
works_and_equipment_transportations,pollution,"Another negative impact may be expected due to works and equipment transportations, which would cause pollution and noise, resulting in a social indignation.",wikipedia_sentence
illegal_disposal_of_tires_in_forests,pollution,"The legal stockpiling of tires increases the risk of fires which can burn for months on end, creating further pollution in the air and ground, while the illegal disposal of tires in forests, water ways and empty lots have caused pollution which cannot be regulated.",wikipedia_sentence
human_consumption,pollution,This reaction might support the correlation between the pollution caused by human consumption and the increasing airborne dust frequency.,wikipedia_sentence
oil_mist_to_be_vented_out_into_the_atmosphere,pollution,This was deemed unacceptable as it allowed fumes and oil mist to be vented out into the atmosphere which caused pollution.,wikipedia_sentence
collection_of_storm_water_from_adjoining_areas,pollution,"One cause of the pollution is the collection of storm water from adjoining areas such as Ambabari, the Walled City of Jaipur, Sanganer town and Pratap Nagar.",wikipedia_sentence
urban_development_in_the_manaus_region,pollution,Urban development in the Manaus region causes deforestation and pollution.,wikipedia_sentence
opening_of_highways_through_the_region,pollution,"The opening of highways through the region has caused rapid population growth, deforestation and pollution.",wikipedia_sentence
food_industry,pollution,"In order to reduce the pollution caused by the food industry, Zaritzky developed techniques that apply natural coagulants to treat effluents, and created technologies that take advantage of the collaborative work of bacteria.",wikipedia_sentence
unhygienic_lifestyle_of_community,pollution,"The pollution is attributed to the unhygienic lifestyle of community, such as throwing thrash and using the river as restroom.",wikipedia_sentence
factory_goes_and_trespasses_onto_the_factory_property,pollution,"Thomas, who has become obsessed with uncovering the extent of the pollution caused by the factory goes and trespasses onto the factory property and is subsequently arrested.",wikipedia_sentence
placement_of_a_westinghouse_corporation_trash_incinerator,pollution,"She coordinated a town meeting of Chester residents, government officials, industry representatives, Environmental Protection Agency representatives and Pennsylvania Department of Environmental Protection representatives to raise concerns about pollution, noise and trucks associated with the placement of a Westinghouse Corporation trash incinerator in Chester.",wikipedia_sentence
utilisation_of_peat,pollution,This configuration caused heated objections from the nature protection bodies as the utilisation of peat could lead to pollution and other negative influences on the environment.,wikipedia_sentence
cool_roofs,energy_consumption,Cool roofs are more beneficial in warmer climates and may cause energy consumption for heating applications to rise in colder climates.,wikipedia_sentence
lack_of_investments_in_the_rural_and_municipal_water_supply,energy_consumption,"The existing and foreseen problems are the lack of investments in the rural and municipal water supply which led to poor services (e.g. water leakages, interruption of service, insufficient water availability during drought, etc.), the limited availability of water resources and its energy consumption which can represent up to 50% of municipalities' electricity bill.",wikipedia_sentence
renewables,energy_consumption,"Based on REN21's 2014 report, renewables contributed 19 percent to our energy consumption and 22 percent to our electricity generation in 2012 and 2013, respectively.",wikipedia_sentence
hesitation,energy_consumption,"This hesitation can cause the motor to become noisy, increase energy consumption, cause performance to drop and the motor to overheat.",wikipedia_sentence
oakland,energy_consumption,The purpose of the ECAP is to identify and prioritize actions the city can take to reduce energy consumption and greenhouse gas (GHG) emissions associated with Oakland.,wikipedia_sentence
socio-cultural_factors_of_the_recently_wealthy_society,energy_consumption,"The main energy consumption is caused by socio-cultural factors of the recently wealthy society, the high energy demand of desalination plants and generally industrial and tourism energy consumption.",wikipedia_sentence
high_energy_demand_of_desalination_plants,energy_consumption,"The main energy consumption is caused by socio-cultural factors of the recently wealthy society, the high energy demand of desalination plants and generally industrial and tourism energy consumption.",wikipedia_sentence
global_warming,sea_level_rise,New data elevating the risk assessment on expected sea level rise due to global warming has identified ten 'weak points.',wikipedia_sentence
climate_change,sea_level_rise,"Despite the cost to the third world country, Tuvalu decided to develop its first national pavilion in 2013 to highlight the negative effects of global warming on the nation, which is forecast to be one of the first countries to disappear due to sea level rise caused by climate change.",wikipedia_sentence
ice_loss,sea_level_rise,There is concern about sea level rise caused by ice loss (melt and glaciers falling into the sea) on Greenland.,wikipedia_sentence
complete_loss_of_ice_on_greenland,sea_level_rise,A complete loss of ice on Greenland would cause a sea level rise of as much as .,wikipedia_sentence
onset_of_anoxic_deposits,sea_level_rise,"Good evidence has been found for high-frequency sea-level changes around the Frasnian–Famennian Kellwasser event, with one sea level rise associated with the onset of anoxic deposits.",wikipedia_sentence
altered_hydrogeological_cycles,sea_level_rise,"Potential negative environmental impacts caused by increasing atmospheric carbon dioxide concentrations are rising global air temperatures, altered hydrogeological cycles resulting in more frequent and severe droughts, storms, and floods, as well as sea level rise and ecosystem disruption.",wikipedia_sentence
anthropogenic_forces,sea_level_rise,"Anthropogenic forces very likely (greater than 90% probability, based on expert judgement)  contributed to sea level rise during the latter half of the 20th century.",wikipedia_sentence
displacement_of_water_from_the_ocean_basins,sea_level_rise,"The increase in the amount of basalt being injected into the ocean caused a displacement of water from the ocean basins, which resulted in sea level rise, flooding the coasts of the Texas margin and other bordering continents around the world.",wikipedia_sentence
meltwater_pulse_1a,sea_level_rise,"The rates of sea level rise associated with meltwater pulse 1A are the highest known rates of post-glacial, eustatic sea level rise.",wikipedia_sentence
sinking_of_the_lands_surface,sea_level_rise,The land of the island has been submerged as a result of erosion exacerbated by sea level rise associated with the sinking of the lands surface associated with isostatic subsidence.,wikipedia_sentence
medieval_warm_period,sea_level_rise,"However, the Medieval Warm Period may have caused some sea level rise; evidence has been found in the Pacific Ocean for a rise to perhaps  above present level in 700 BP.",wikipedia_sentence
climatological_effects_of_human_influences,sea_level_rise,"Considered as being one of the most endangered Countries by the current sea level rise associated with climatological effects of human influences, nature as a culturally defined etymology is used as a point of departure for explorations of the ethics of climate change contingencies such as the possibility of climate refugees\n\nThe subtitle of the Pavilion, Disappearance as work in progress – approaches to Ecological Romanticism, conceived the Maldives Pavilion as a platform for artists, environmental campaigners, and thinkers.",wikipedia_sentence
expansion_of_water,sea_level_rise,"In addition, NASA  calculates that average sea level rise is 3.41 mm per year and that sea level rise is directly caused by the expansion of water as it warms and the melting of polar ice caps.",wikipedia_sentence
isostatic_uplift,sea_level_rise,Sea level rise as a result of isostatic uplift has hidden much of the evidence of Maritime Archaic peoples who may have spanned and traded from Maine to Newfoundland and occupied much of coastal Nova Scotia.,wikipedia_sentence
depression,petrol,Ponies became popular again when the depression led to petrol and diesel becoming rationed and very expensive.,wikipedia_sentence
lawsuits,napster,"Lawsuits and other legal actions caused Napster in 2001, eDonkey2000 in 2005, Kazaa in 2006, and Limewire in 2010 to shut down or refocus their efforts.",wikipedia_sentence
legal_actions,napster,"Lawsuits and other legal actions caused Napster in 2001, eDonkey2000 in 2005, Kazaa in 2006, and Limewire in 2010 to shut down or refocus their efforts.",wikipedia_sentence
album,pop_punk,"The album has been associated with punk rock, hardcore punk, melodic hardcore, melodic punk, melodic rock, pop punk, and emo.",wikipedia_sentence
lamborghini_car_names,bullfighting,"Most previous and subsequent Lamborghini car names are associated with famous bulls and bullfighting, but the Countach broke with this tradition.",wikipedia_sentence
spanish_interjection,bullfighting,"The word ""olé"" is a Spanish interjection which is often associated with bullfighting.",wikipedia_sentence
postmodernism,sigmund_freud,"Postmodernism has been associated with Karl Marx, Sigmund Freud, radical politics, and arguments against metaphysics and ideology; it is against any philosophy that attempts to make rational descriptions of society.",wikipedia_sentence
term_resistance,sigmund_freud,"Although the term resistance as it is known today in psychotherapy is largely associated with Sigmund Freud, the idea that some patients ""cling to their disease"" was a popular one in medicine in the nineteenth century, and referred to patients whose maladies were presumed to persist due to the secondary gains of social, physical, and financial benefits associated with illness.",wikipedia_sentence
jung,sigmund_freud,"Jung was associated with Sigmund Freud for a period of approximately six years, beginning in 1907.",wikipedia_sentence
poverty,crime,"The poverty often leads to crime, and neighborhoods become further neglected because they continue to be unattractive to outside investment, and continue to be redlined by banks.",wikipedia_sentence
drugs,crime,Crime associated with drugs and drug-use is also on the rise.,wikipedia_sentence
unemployment,crime,"Kellor felt that crime was due to poor education and unemployment, which ran contrary to the popular belief of the time that criminality was biological.",wikipedia_sentence
alcohol,crime,"The sale of alcohol necessitates higher costs in policemen and prisons, Pigou argues, because of the crime associated with alcohol.",wikipedia_sentence
inequality,crime,"The Bolivarian government then believed that violence and crime were due to poverty and inequality, though while the government boasted about reducing both poverty and inequality, the murder rate continued to increase in Venezuela.",wikipedia_sentence
crime,crime,"Firstly, CPTED professionals see the causes of crime one-dimensionally because of the use of language such as certainty as opposed to probability when predicting crime, which results in crime being caused by poorly designed environments.",wikipedia_sentence
prohibition,crime,"Prohibition causes crime.""",wikipedia_sentence
disorder,crime,"The study noted that crime cannot be the result of disorder if the two are identical, agreed that disorder provided evidence of ""convergent validity"" and concluded that broken windows theory misinterprets the relationship between disorder and crime.",wikipedia_sentence
conditions,crime,"During the trial, the judges had the additional responsibility of educating the people like revealing and removing the causes and conditions that led to the crime.",wikipedia_sentence
problems,crime,They are:\n\n\nRestoring the community:\nBridging the gap between communities and courts;\nKnitting together a fractured criminal justice system;\nHelping offenders deal with problems that lead to crime;\nProviding the courts with better information; and\nBuilding a physical courthouse that reflects these ambitions.,wikipedia_sentence
lack_of_jobs,crime,The lack of jobs contributed to crime.,wikipedia_sentence
immigration,crime,He contributed to the debate prior to the 2005 United Kingdom general election criticising assertions that immigration was a cause of crime.,wikipedia_sentence
oppression,crime,"This term is based upon the view that the fundamental causes of crime is oppression, resulting from social and economic forces operating within a given society.",wikipedia_sentence
actions,crime,"If the actions have led to a crime, the penalty is increased by 6 months more imprisonment and an additional fine of 15,000 to 30,000 euros.",wikipedia_sentence
boredom,crime,"Pollution and overcrowding reduced quality of life, and boredom led inevitably to crime and violence.",wikipedia_sentence
overcrowding,crime,"The other side of growing wealth and planned architecture for the aristocracy and middle classes was the growth of urban sprawl, exemplified by sub-urban tenements like those of the Gorbals in Glasgow, where overcrowding, lack of sanitation and general poverty contributed to disease, crime, and very low life expediency.",wikipedia_sentence
black_market,crime,"Fish has argued that this model is fallacious, and has argued for an alternative model: Drug prohibition causes a black market, and the black market causes crime and corruption, and spreads disease.",wikipedia_sentence
events,crime,"Each episode reveals the killer and the victim at the beginning; and the rest of the episode details the ongoing investigation, the killer's efforts to cover up the crime, and, via flashbacks, the events leading to the crime.",wikipedia_sentence
brain_damage,crime,Benoit's father suggests that brain damage may have been the leading cause of the crime.,wikipedia_sentence
vandalism,crime,"In the 1980s, crime associated with vandalism, property violations, landlord absenteeism, and drugs were seen as a threat to the federal workers who were now commuting into Suitland from outside the community, and in 1983, a razor wired fence was erected around the Federal Center complex.",wikipedia_sentence
alcohol_consumption,crime,"Two thirds of the gang rape perpetrators claimed entertainment as their motive, 30% claimed they participated in gang rape out of anger and to inflict punishment on the victim, while 11% indicated the crime followed alcohol consumption.",wikipedia_sentence
integration,crime,"In a Florida Times Union article in 1991, Fourth Judicial Chief Circuit John Santora Jr. expressed his personal views regarding blacks, referred to a black woman judicial assistant as a ""girl"", his opposition to interracial marriage, how integration is the cause of crime and violence among black youth.",wikipedia_sentence
injustice,crime,"The social democratic brand of positivism, although sensing that injustice was the root cause of crime, either deflected its attentions to purely individual deprivation (e.g. maternal deprivation, broken homes, etc.) or made the fundamental mistake of believing that\nameliorating deprivation quantitatively in an absolute sense (e.g. raising standards of education, housing, etc.) would solve the problem of relative deprivation.",wikipedia_sentence
poor_education,crime,"Kellor felt that crime was due to poor education and unemployment, which ran contrary to the popular belief of the time that criminality was biological.",wikipedia_sentence
neighborhood,crime,"The neighborhood has long been associated with crime and gang activity, and was generally referred to as the ""Dogg Pound"" - in reference to the Dogg Pound Crips Gang that claims the neighborhood - by local residents until recent efforts by the community and the city government to change the neighborhood's image.",wikipedia_sentence
mental_instability,crime,He spent his medical career in an attempt to persuade the courts that crime and alcoholism were the result of mental instability.,wikipedia_sentence
lack_of_employment_opportunities,crime,Quan attributed the crime to lack of employment opportunities in Oakland.,wikipedia_sentence
variables,crime,"The difficulty in measuring the effect of lead exposure on crime rates is in separating the effect from other indicators of poverty such as poorer schools, nutrition, and medical care, exposure to other pollutants, and other variables that may lead to crime.",wikipedia_sentence
cash,crime,"The Guardian called him Sweden's ""highest-profile cash-free campaigner"", explaining that ""after his son was robbed several years ago, Ulvaeus became an evangelist for the electronic payment movement, claiming that cash was the primary cause of crime and that 'all activity in the black economy requires cash'"".",wikipedia_sentence
super_villain,crime,"The superhero stories often pit a super villain against the hero, with the hero fighting the crime caused by the super villain.",wikipedia_sentence
impatient_greed,crime,Impatient greed leads to crime.,wikipedia_sentence
succession_of_civil_wars,crime,"Diocletian ended this long period of anarchy, but the succession of civil wars and invasions caused much suffering, disorder and crime which brought the empire into a state of moral lethargy from which it never recovered.",wikipedia_sentence
modernization,crime,Modernization has led to more crime as well.,wikipedia_sentence
feelings_of_deprivation,crime,This leads to feelings of deprivation which can lead to crime.,wikipedia_sentence
high_densities_of_liquor_stores,crime,"High densities of liquor stores are associated with crime and public health issues, which may in turn drive away supermarkets, grocery stores, and other retail outlets, contributing to low levels of economic development.",wikipedia_sentence
college_park,crime,"For much of the 2000s, College Park – along with the other so-called Tri-Cites, East Point and Hapeville – has been popularly associated with crime; for example, a comedy/travel book originally published in 2005 describes College Park as ""a nightmarish southern ghetto.""",wikipedia_sentence
song,crime,Some critics argued that the song could cause crime and violence.,wikipedia_sentence
common_sense_without_conscience,crime,"In 1896, the physiologist and physician Dr. Walter B. Cannon said ""The antivivisectionists are the second of the two types Theodore Roosevelt described when he said, 'Common sense without conscience may lead to crime, but conscience without common sense may lead to folly, which is the handmaiden of crime.",wikipedia_sentence
breakdown_of_local_authority,crime,Crime followed the breakdown of local authority.,wikipedia_sentence
inherent_desire_to_understand_the_behavior,crime,"Although many citizens advocate severe penalties as a means of reducing crime, a number of studies have shown that the juror's desire to realize that goal is often overridden by the inherent desire to understand the behavior that leads to crime.",wikipedia_sentence
difficulty_those_in_poverty,crime,Strain theory holds that crime is caused by the difficulty those in poverty have in achieving socially valued goals by legitimate means.,wikipedia_sentence
bachata_music,crime,"During much of its history, Bachata music was disregarded by Dominican  elite and associated with rural underdevelopment and crime.",wikipedia_sentence
white-collar_crime,crime,"In criminology, blue-collar crime is any crime committed by an individual from a lower social class as opposed to white-collar crime which is associated with crime committed by someone of a higher-level social class.",wikipedia_sentence
anslinger_collected_dubious_anecdotes_of_marijuana,crime,"Anslinger collected dubious anecdotes of marijuana causing crime and violence, and ignored contrary evidence such as doctor Walter Bromberg, who pointed out that substance abuse and crime are heavily confounded and that none of a group of 2,216 criminal convictions he examined were clearly done under marijuana's influence, or a discussion forwarded to him by the American Medical Association in which 29 of 30 pharmacists and drug industry representatives objected to his proposals to ban marijuana.",wikipedia_sentence
gilbert_'s_campaign_against_drink,crime,"His last book, published in 1882, Legion, or the modern demoniac, returns to Gilbert's campaign against drink, which, he illustrated, leads to ""crime, profligacy, suicide, homicide, brutality, cruelty, pauperism, idiocy and insanity.""",wikipedia_sentence
unidentified_anarchist,crime,The crime was attributed by police to an unidentified anarchist.,wikipedia_sentence
dancing_pigs_problem,crime,"The study showed participants a number of phishing sites, including one that copied the Bank of the West home page:\n\n\nSchneier believes the dancing pigs problem will lead to crime, a key threat.",wikipedia_sentence
chain_of_events,crime,"Ross described crime science as, ""examining the chain of events that leads to crime in order to cut the weakest link"" (Royal Institution Lecture 9 May 2002).",wikipedia_sentence
distribution_of_invince,crime,The distribution of Invince causes crime and assaults to greatly increase throughout the city.,wikipedia_sentence
conflict_within_societies,crime,"According to criminologists working in the conflict tradition, crime is the result of conflict within societies that is brought about through the inevitable processes of capitalism.",wikipedia_sentence
general_'s_part_in_a_veteran_tontine,crime,"Holmes and Watson investigate to see whether the crime was due to the general's part in a Veteran Tontine, a book he was writing on a missing diamond, a disgruntled marriage, or something hidden deep in his past.",wikipedia_sentence
larger_resorts,crime,The crime associated with larger resorts was notable by its absence in Flaine until the turn of the 21st century.,wikipedia_sentence
laws_okaying_medical_marijuana,crime,"In written testimony before the House Judiciary Subcommittee on Crime, Terrorism and Homeland Security, Dr. David Murray, ONDCP's Chief Scientist called medical marijuana advocates ""modern-day snake oil proponents,"" sneered at medicines that make patients ""feel good,"" and claimed that laws okaying medical marijuana in a dozen states have led to ""abuse, confusion, and crime.""",wikipedia_sentence
anomie,crime,"Further, if anomie is a primary cause of crime, there should be a theory to explain why only some working-class people commit crimes.",wikipedia_sentence
choice,crime,"This implies that crime and delinquency are a result of choice, and Clarke and Cornish (1985) posit that, ""...crime is purposive behavior designed to meet the offender's commonplace needs for such things as money, status, sex, excitement, and that meeting these needs involves the making of (sometimes quite rudimentary) decisions and choices, constrained as they are by limits of time and ability and the availability of relevant information.""",wikipedia_sentence
group_of_young_men,crime,"The crime is attributed to a group of young men who were practicing an activity the police called ""wilding"", with five of these teens convicted and jailed.",wikipedia_sentence
unemployment_or_poverty,crime,"He rejects the positivist view that unemployment or poverty causes crime, but prefers Merton's theory of anomie and Subcultural Theory which focus on the lack of opportunity to achieve social status and economic expectations: a lack most commonly felt by the most disadvantaged sections of the community.",wikipedia_sentence
rigor,crime,"Condemning himself for the rigor which had led to the crime, Acindynus paid the gold himself, and gave the woman the field from which the earth had been brought.",wikipedia_sentence
study_of_social_issues,crime,"Dwight Spaulding Strong (1906–2004) became director of the society in 1948, and redirected its focus, choosing to emphasize action on gambling and other vices, the rehabilitation of criminals, and the study of social issues that lead to crime.",wikipedia_sentence
chobani_'s_practice_of_hiring_refugees,crime,"In 2017, InfoWars (along with similar sites) published a fake story about U.S. yogurt manufacturer Chobani, with headlines including ""Idaho yogurt maker caught importing migrant rapists"" and ""Allegations that Chobani's practice of hiring refugees brought crime and tuberculosis to Twin Falls"".",wikipedia_sentence
irresponsible_residential_policy,crime,"Also, crime and heavy traffic problems caused by an irresponsible residential policy implemented by Catalan are impacting negatively in a municipality that was once considered ""the safest municipality of Caracas"".",wikipedia_sentence
corruption,crime,"According to the Muslim clerics of Iran, if a man observes a woman riding a bicycle, it will lead to corruption in society with terrible consequences, including corruption that will lead to crime, sexual offenses, financial crimes, spiritual infidelity, religious disobedience, and many others.",wikipedia_sentence
benzodiazepines,crime,Some benzodiazepines are more associated with crime than others especially when abused or taken in combination with alcohol.,wikipedia_sentence
socioeconomic_conditions,crime,"They exchanged views about the high rate of crime in black urban communities and the socioeconomic conditions that lead to crime and violence, as well as relevant issues such as fairness in the administration of justice (or the lack thereof), strained police/community relations, the hiring and promotion of black police officers, and the unique problems faced by black police executives and black police officers in general.",wikipedia_sentence
risks,crime,Criminologists focus on preventing the risks that can cause crime rather than reacting to crime that have already occurred.,wikipedia_sentence
homosexuality,crime,"Her self-described life mission was to tear away the ""shroud of invisibility"" related to homosexuality, which had theretofore been associated with crime and mental illness.",wikipedia_sentence
machismo,crime,"""Machismo as a cultural factor is substantially associated with crime, violence, and lawlessness independently of the structural control variables"" (26-27).",wikipedia_sentence
surreptitious_placement_of_card-scanning_modules_at_the_stores_'_self-serve_checkout_stands,crime,The crime resulted from the surreptitious placement of card-scanning modules at the stores' self-serve checkout stands.,wikipedia_sentence
lives_of_three_crackhouse_friends_whose_addiction,crime,High On Crack Street is a harrowing documentary chronicling 18 months in the lives of three crackhouse friends whose addiction has led them to crime and despair.,wikipedia_sentence
lack_of_quality_conditions,crime,"Open spaces were important for healthy children, and he believed that lack of quality conditions would result in child delinquency, crime, disease and a host of other social and health crises that would fester.",wikipedia_sentence
alcohol_court_of_the_northern_territory,crime,"The Alcohol Court of the Northern Territory deals with alcohol dependency that leads to crime to reduce the incidence of crime, help to rehabilitate offenders, and improve health and social amenity.",wikipedia_sentence
austerity,crime,"Austerity and unemployment led to unrest and crime, which the government met with repression by police and military forces.",wikipedia_sentence
federal_immigration_policies,crime,"Philadelphia mayor Jim Kenney said in November 2016 that federal immigration policies lead to more crime, and that crime rates declined the year he reinstated a sanctuary city policy.",wikipedia_sentence
pablo_escobar,crime,"The crime was originally attributed to Pablo Escobar, but the druglord denied his involvement and even argued he had asked against it.",wikipedia_sentence
moyross,crime,Moyross has been strongly associated in the media with anti-social behaviour and crime.,wikipedia_sentence
social_and_economic_forces_operating_within_society,crime,Conflict theory is based upon the view that the fundamental causes of crime are the social and economic forces operating within society.,wikipedia_sentence
poor_political_and_economic_environment_in_the_country,crime,Venezuela was ranked the most insecure nation in the world by Gallup in 2013 with the United Nations stating that such crime is due to the poor political and economic environment in the country.,wikipedia_sentence
zulfikar_ali_bhutto,crime,The family blamed the crime on Zulfikar Ali Bhutto.,wikipedia_sentence
